url,Image,course_title,Puan,,udsronly4,level,udsronly6,coursecardinstructorsmoduleinstructorlistcjtfw,review_parantezli,review,price_tl,price
https://www.udemy.com/course/wordpress-tema-yapimi/,https://img-c.udemycdn.com/course/240x135/282604_34bd_4.jpg,Artık siz de Wordpress için 'sıfırdan' tema geliştirebileceksiniz. Nasıl mı? Derslere buyrun.,"4,4",5,11 ders,Orta,,Özer Gül,-299,299,,
https://www.youtube.com/watch?v=9mGR44k7iy8,,"Mobil Yazılım 2023 - Android, iOS, Swift, Kotlin ve genel tavsiyeler",,,,Tüm Düzeyler,,,,2756,,Ücretsiz
https://www.youtube.com/watch?v=x8SwWSBNnG4,,Arduino android telefon ile programlama,,,,Tüm Düzeyler,,,,667,,
https://www.youtube.com/watch?v=R3IKGcHifTo,,Android Programlama Temelleri 01 : Gerekli Programların Kurulumu ve Ayarları,,,,Tüm Düzeyler,,,,319,,
https://www.youtube.com/watch?v=FcANt70mN2k,,Nasıl Android Developer Oldum? (Esra Odacı),,,,Tüm Düzeyler,,,,674,,
https://www.youtube.com/watch?v=mwbyge6_Vs0,,Android Programlama | Eğitime Giriş | Kod Yazmadan Uygulama Geliştirmek Mümkün Mü?,,,,Tüm Düzeyler,,,,17,,
https://www.youtube.com/watch?v=H8ozY0wEtMQ,,Android Programlama | 1. Uygulama 1. Bölüm | Dört İşlem Uygulaması,,,,Tüm Düzeyler,,,,14,,
https://www.youtube.com/watch?v=94sq44YpUH0,,"Kotlin ile Şehir Plaka Kodu Android Mobil Uygulaması Geliştirme(if, when koşul ifadeleri) 4K",,,,Tüm Düzeyler,,,,242,,
https://www.youtube.com/watch?v=Ww1mc5frlf0,,ANDROİD PROGRAMLAMA 01 Intro,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=qujs0w477C8,,Create QR Code Scanner in Android Studio | Step by Step | Beginners | Hindi,,,,Tüm Düzeyler,,,,Gizli,,
https://www.youtube.com/watch?v=liSxRIC2CCQ,,Sıfırdan Android Programlama -1-  Genel Görünüm,,,,Tüm Düzeyler,,,,35,,
https://www.youtube.com/watch?v=-XBRgxDjM8s,,Android Programlama | 4. Uygulama TEST | Adım Sayar Yapımı,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=x1VVhGp7eXw,,Kotlin Programlama Temelleri #1 | Android Geliştirme,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=I_RDgaYVwUY,,Mobil Android Programlama 1.Uygulama Ödevi | İlk Uygulamam,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=8hl58ZaxJx0,,Android Programlama Ders 15 RssReader Uygulamamızı Tamamlıyoruz720p H 264 AAC,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=x6EB3a5Bies,,Android Programlama | 5. Uygulama | Sayaç Yapımı,,,,Tüm Düzeyler,,,,5,,
https://www.youtube.com/watch?v=C7g4VBRSyjo,,"Android Giriş Sayfası Uygulaması Geliştirme, Android Studio - Kotlin  4K",,,,Tüm Düzeyler,,,,1026,,
